Date,Close,High,Low,Open,Volume,Ticker
2021-01-04,2721.571044921875,2727.8854725426877,2620.5381679913826,2620.5381679913826,106226854,BBRI.JK
2021-01-05,2696.3125,2715.256119740475,2677.368710676422,2715.256119740475,106964857,BBRI.JK
2021-01-06,2652.111083984375,2715.2565496447605,2626.8528638035946,2702.627354762805,128299616,BBRI.JK
2021-01-07,2702.627197265625,2708.9417943386156,2658.42535692093,2689.9981727027634,141798389,BBRI.JK
2021-01-08,2772.0869140625,2772.0869140625,2715.2560561715854,2734.199675468557,205011531,BBRI.JK
2021-01-11,2936.265380859375,2942.5799774758557,2784.7162491456,2791.0306761789725,422093240,BBRI.JK
2021-01-12,2980.467041015625,3012.0396830568925,2948.8943989743575,2955.2089952158503,260390447,BBRI.JK
2021-01-13,3024.66943359375,3056.242081460196,2999.4113831338454,3012.0402387806685,231181533,BBRI.JK
2021-01-14,3012.03955078125,3049.926787400168,2980.4669101265154,3043.612530602166,146980798,BBRI.JK
2021-01-15,2892.0634765625,3012.039791991379,2873.1196871528937,3012.039791991379,225189839,BBRI.JK
2021-01-18,2917.321533203125,2936.265322677195,2866.805439604692,2892.0634864039084,182568723,BBRI.JK
2021-01-19,2917.321533203125,2967.8379659677685,2911.0072758779784,2967.8379659677685,152430182,BBRI.JK
2021-01-20,3087.814697265625,3106.7581480415447,2936.265395227177,2948.894588521936,277723446,BBRI.JK
2021-01-21,3024.66943359375,3125.702313765887,3012.0402387806685,3106.758521546264,177275431,BBRI.JK
2021-01-22,2980.467041015625,3068.870710064131,2955.2089952158503,3068.870710064131,183332136,BBRI.JK
2021-01-25,3018.354736328125,3024.669333525754,2911.007601467173,3024.669333525754,165278734,BBRI.JK
2021-01-26,2936.265380859375,3024.66905515767,2917.321591009934,3018.354458541189,163850580,BBRI.JK
2021-01-27,2917.321533203125,2980.4671589504815,2841.5470536392654,2936.265322677195,198692361,BBRI.JK
2021-01-28,2822.603759765625,2936.265661822735,2791.0309432452127,2892.0638204440324,176270344,BBRI.JK
2021-01-29,2639.48193359375,2911.0077627182186,2639.48193359375,2885.7493725285503,308226863,BBRI.JK
2021-02-01,2778.401611328125,2803.659827836384,2500.5613993203806,2639.481505324253,355113743,BBRI.JK
2021-02-02,2753.1435546875,2835.232635918705,2689.9980945417183,2835.232635918705,167527833,BBRI.JK
2021-02-03,2765.772705078125,2828.9181642333047,2753.1435114972214,2828.9181642333047,124241205,BBRI.JK
2021-02-04,2835.232666015625,2892.0636994582896,2759.4581808695625,2809.9746173556823,162519997,BBRI.JK
2021-02-05,2822.603759765625,2866.805770727452,2791.0309432452127,2866.805770727452,99005120,BBRI.JK
2021-02-08,2816.289306640625,2860.491319864052,2809.9748786799637,2860.491319864052,120218986,BBRI.JK
2021-02-09,2917.321533203125,3012.039802241055,2841.5470536392654,2841.5470536392654,464366860,BBRI.JK
2021-02-10,2936.265380859375,2974.152621392042,2904.692736943189,2923.636187626414,202155881,BBRI.JK
2021-02-11,2955.209228515625,2974.152679569403,2923.6362448156237,2967.8380828294025,99681961,BBRI.JK
2021-02-15,2974.15283203125,3018.354672310916,2967.8382349675494,2974.15283203125,93158189,BBRI.JK
2021-02-16,2948.894775390625,2993.096615557091,2942.5801783430957,2993.096615557091,71623667,BBRI.JK
2021-02-17,2923.63623046875,2986.7818583926614,2917.321633759737,2974.1526649746347,101529553,BBRI.JK
2021-02-18,2948.894775390625,3012.0400675334395,2936.2655812955663,2967.8382273669736,152089286,BBRI.JK
2021-02-19,3024.66943359375,3024.66943359375,2904.6931003682494,2904.6931003682494,109884637,BBRI.JK
2021-02-22,3024.66943359375,3075.1858736798185,3005.7256413741275,3062.5566788667365,157619632,BBRI.JK
2021-02-23,3024.66943359375,3049.927484053655,2993.0967857273045,3037.298628406832,107810772,BBRI.JK
2021-02-24,2986.781982421875,3043.61301599674,2974.152788479408,3024.66922508304,105582023,BBRI.JK
2021-02-25,2986.781982421875,3012.0400311405733,2948.89473976071,3012.0400311405733,131635423,BBRI.JK
2021-02-26,2974.15283203125,2999.411220286054,2967.8382349675494,2986.782026158652,161796404,BBRI.JK
2021-03-01,3049.927001953125,3049.927001953125,2980.467119793184,3030.9835518941436,127020403,BBRI.JK
2021-03-02,3030.98388671875,3081.5003244001246,3030.9838867187505,3075.1857272941725,75195758,BBRI.JK
2021-03-03,3062.556396484375,3062.556396484375,2993.0965097494773,3030.9837515290787,85026738,BBRI.JK
2021-03-04,3005.72509765625,3062.556124868463,2986.781648029644,3062.556124868463,117897176,BBRI.JK
2021-03-05,3012.03955078125,3012.03955078125,2967.8377181981487,2993.0961020548816,71188389,BBRI.JK
2021-03-08,2986.781982421875,3043.61301599674,2986.781982421875,3030.9838220542733,69917647,BBRI.JK
2021-03-09,2892.0634765625,2999.41093821785,2879.4342836227625,2999.41093821785,165527119,BBRI.JK
2021-03-10,2923.63623046875,2942.58002059579,2898.3781827989183,2936.2654238867767,77405916,BBRI.JK
2021-03-12,2892.0634765625,2961.523359398638,2866.805429849234,2961.523359398638,152360111,BBRI.JK
2021-03-15,2885.74951171875,2923.636759664426,2879.434913866757,2892.0641095707433,95483079,BBRI.JK
