Date,Close,High,Low,Open,Volume,Ticker
2021-01-04,4152.19287109375,4168.868344471636,4018.7890840706577,4068.815504204317,34840200,ASII.JK
2021-01-05,4118.84130859375,4168.867721248735,4102.165837708755,4152.19225036374,27318400,ASII.JK
2021-01-06,4102.166015625,4152.192430449695,3968.7622427591464,4118.841487233231,42778200,ASII.JK
2021-01-07,4052.1396484375,4135.517007458848,4052.1396484375,4118.841535654578,33536400,ASII.JK
2021-01-08,4285.59521484375,4318.946150367826,4068.814133937257,4102.165069461333,88590400,ASII.JK
2021-01-11,4352.29833984375,4402.324757543103,4318.947394710848,4335.622867277299,57622400,ASII.JK
2021-01-12,4352.29833984375,4435.675702676006,4268.920977011494,4285.596449577945,38226200,ASII.JK
2021-01-13,4519.052734375,4535.728205719557,4335.622549584871,4402.3244349630995,56171600,ASII.JK
2021-01-14,4519.052734375,4619.105562442343,4519.052734375,4569.079148408672,48209800,ASII.JK
2021-01-15,4385.64892578125,4569.079108988831,4352.297983379872,4535.7281665874525,45722300,ASII.JK
2021-01-18,4452.3505859375,4469.026056296817,4352.297763781601,4385.648704500234,48444700,ASII.JK
2021-01-19,4452.3505859375,4519.052467374766,4385.648704500234,4519.052467374766,37236400,ASII.JK
2021-01-20,4452.3505859375,4519.052467374766,4418.999645218867,4418.999645218867,27403000,ASII.JK
2021-01-21,4535.72802734375,4535.72802734375,4485.701615277459,4535.72802734375,32219700,ASII.JK
2021-01-22,4469.02685546875,4569.079695516558,4402.324962103545,4552.404222175256,34960500,ASII.JK
2021-01-25,4318.947265625,4435.675570101352,4218.894433216698,4435.675570101352,73391700,ASII.JK
2021-01-26,4235.56982421875,4385.649069958785,4202.218880720965,4318.947182963214,39158300,ASII.JK
2021-01-27,4185.54248046875,4235.568884617779,4102.165140220369,4235.568884617779,56444100,ASII.JK
2021-01-28,4185.54248046875,4302.270756816484,4102.165140220369,4102.165140220369,54596400,ASII.JK
2021-01-29,4068.815185546875,4252.245378337922,3968.7623531153945,4202.218962122182,71886200,ASII.JK
2021-02-01,4018.788818359375,4052.139762910075,3835.3586233305236,3902.060512431924,57416200,ASII.JK
2021-02-02,3985.43701171875,4102.165292396705,3918.735137045633,4102.165292396705,42421400,ASII.JK
2021-02-03,4102.166015625,4185.543373666158,3968.7622427591464,4052.139600800305,76420800,ASII.JK
2021-02-04,4135.51708984375,4152.192561980217,4085.49067343435,4152.192561980217,29508100,ASII.JK
2021-02-05,4068.815185546875,4168.868017978355,4035.464241403048,4168.868017978355,34366600,ASII.JK
