Date,Close,High,Low,Open,Volume,Ticker
2021-01-04,5644.025390625,5662.90172972408,5549.643695129598,5625.149051525919,8203000,UNVR.JK
2021-01-05,5568.51953125,5662.901218220339,5568.51953125,5644.024880826271,11869900,UNVR.JK
2021-01-06,5436.38525390625,5587.395955403646,5417.508916219076,5568.519617716472,24431200,UNVR.JK
2021-01-07,5436.38525390625,5474.1379292806,5379.756240844727,5436.38525390625,14692600,UNVR.JK
2021-01-08,5417.509765625,5493.015128212108,5379.757084331446,5474.138787565331,24667000,UNVR.JK
2021-01-11,5436.38525390625,5549.643280029297,5360.879903157553,5417.508916219076,25591700,UNVR.JK
2021-01-12,5360.88037109375,5493.01474643761,5360.88037109375,5474.138407102772,20896700,UNVR.JK
2021-01-13,5304.2509765625,5436.385342526691,5285.374638567616,5436.385342526691,28188400,UNVR.JK
2021-01-14,5285.375,5342.004017857143,5285.375,5304.2513392857145,27720000,UNVR.JK
2021-01-15,5247.62255859375,5323.127919149056,5228.746218454924,5285.375238871403,18780400,UNVR.JK
2021-01-18,5662.90283203125,5681.7791748046875,5209.87060546875,5247.623291015625,44943900,UNVR.JK
2021-01-19,5719.5302734375,6040.428011551155,5681.7775983653055,5889.417311262376,108575300,UNVR.JK
2021-01-20,5587.396484375,5795.036218591638,5530.76746595228,5738.407200168919,34817000,UNVR.JK
2021-01-21,5530.767578125,5662.9019571245735,5530.767578125,5587.396597696245,16702700,UNVR.JK
2021-01-22,5493.0146484375,5587.396343427835,5455.261970441366,5568.520004429768,14718800,UNVR.JK
2021-01-25,5474.13818359375,5530.767199286099,5304.251136516703,5493.014522157867,17025000,UNVR.JK
2021-01-26,5474.13818359375,5644.025230670797,5417.509167901401,5493.014522157867,17948000,UNVR.JK
2021-01-27,5379.75634765625,5549.643390213816,5323.127333470395,5530.767052151865,14628000,UNVR.JK
2021-01-28,5342.00439453125,5417.509756998123,5228.746350830941,5360.880735147968,20723700,UNVR.JK
2021-01-29,5228.74658203125,5455.2626794477665,5209.870240579874,5342.004630739509,36432100,UNVR.JK
2021-02-01,5304.2509765625,5360.879990547153,5134.363934608541,5209.8692865880785,15324400,UNVR.JK
2021-02-02,5285.375,5379.756696428572,5247.622321428572,5360.880357142857,11678200,UNVR.JK
2021-02-03,5417.509765625,5530.767809505662,5285.375381097561,5360.880743684669,16730800,UNVR.JK
2021-02-04,5511.89111328125,5530.767452710295,5417.509416136023,5474.138434423159,17606900,UNVR.JK
2021-02-05,5455.2626953125,5549.644402843858,5436.386353806229,5530.768061337587,11295000,UNVR.JK
2021-02-08,5360.88037109375,5474.138407102772,5360.88037109375,5455.262067767935,14010900,UNVR.JK
2021-02-09,5360.88037109375,5417.509389098262,5304.251353089238,5398.633049763424,10394200,UNVR.JK
2021-02-10,5398.6328125,5398.6328125,5304.251119973776,5398.6328125,6019200,UNVR.JK
2021-02-11,5417.509765625,5417.509765625,5360.880743684669,5417.509765625,3700200,UNVR.JK
2021-02-15,5323.1279296875,5417.509630568485,5304.251589511304,5417.509630568485,8252200,UNVR.JK
2021-02-16,5304.2509765625,5360.879990547153,5285.374638567616,5360.879990547153,11529000,UNVR.JK
2021-02-17,5360.88037109375,5360.88037109375,5266.498674419564,5285.375013754401,6980200,UNVR.JK
2021-02-18,5266.4990234375,5360.880726366488,5266.4990234375,5342.0043857806895,11085900,UNVR.JK
2021-02-19,5247.62255859375,5266.498898732577,5209.869878316097,5266.498898732577,8791400,UNVR.JK
2021-02-22,5190.99267578125,5285.374360795455,5190.99267578125,5266.498023792614,14949100,UNVR.JK
