Date,Close,High,Low,Open,Volume,Ticker
2021-01-04,2484.452880859375,2491.5716570222958,2356.3149099268,2363.4336860897206,165339800,TLKM.JK
2021-01-05,2470.21533203125,2477.3341082042507,2434.6214511662465,2477.3341082042507,157800700,TLKM.JK
2021-01-06,2399.02783203125,2484.4531554270216,2370.5527242326593,2470.2156015277264,177877900,TLKM.JK
2021-01-07,2413.264892578125,2455.9775455441095,2406.1461170837943,2413.264892578125,140221900,TLKM.JK
2021-01-08,2541.403076171875,2576.9969567905287,2448.8589865633753,2455.977762687106,492643700,TLKM.JK
2021-01-11,2562.759521484375,2591.234627278646,2541.403192138672,2555.6407450358074,271231200,TLKM.JK
2021-01-12,2498.6904296875,2576.9969673700143,2491.571653534544,2562.7594150641025,189779500,TLKM.JK
2021-01-13,2477.333984375,2527.1654150951867,2463.096432740661,2527.1654150951867,162329300,TLKM.JK
2021-01-14,2491.572021484375,2555.6410163225446,2470.2156898716516,2477.334467075893,187448400,TLKM.JK
2021-01-15,2477.333984375,2520.046639278017,2455.9776569234914,2498.6903118265086,133304300,TLKM.JK
2021-01-18,2455.977783203125,2505.8092164855075,2441.74023083673,2477.3341117527175,138913100,TLKM.JK
2021-01-19,2427.502685546875,2484.452895178473,2399.027580731076,2470.215342770574,144100700,TLKM.JK
2021-01-20,2470.21533203125,2477.3341082042507,2406.1463464742433,2434.6214511662465,116098100,TLKM.JK
2021-01-21,2477.333984375,2505.809087643678,2463.096432740661,2491.571536009339,81801900,TLKM.JK
2021-01-22,2413.264892578125,2448.8587700497787,2391.9085660951328,2434.6212190611172,165024200,TLKM.JK
2021-01-25,2399.02783203125,2427.5029398298407,2356.315170333364,2399.02783203125,118131800,TLKM.JK
2021-01-26,2320.720947265625,2413.2650341197755,2320.720947265625,2391.9087063842026,111414500,TLKM.JK
2021-01-27,2406.146728515625,2406.146728515625,2320.721400876017,2377.671619302422,159144700,TLKM.JK
2021-01-28,2306.4833984375,2370.5523817274307,2299.3646225163966,2334.9585021219136,142648800,TLKM.JK
2021-01-29,2213.939697265625,2342.077686174889,2213.939697265625,2342.077686174889,191915100,TLKM.JK
2021-02-01,2299.36474609375,2313.6022987011415,2164.1079963235293,2228.176983056792,133929600,TLKM.JK
2021-02-02,2327.83984375,2370.552501433486,2313.6022911888376,2349.196172591743,114734600,TLKM.JK
2021-02-03,2306.4833984375,2370.5523817274307,2292.245846595293,2313.6021743586034,86433900,TLKM.JK
2021-02-04,2342.07763671875,2370.5527447639624,2320.7213056848404,2327.8400826961433,80319500,TLKM.JK
