Strategi,Modal Akhir,Total Return (%),Annualized Return (%),Max Drawdown (%),Sharpe Ratio (approx),Jumlah Transaksi,Ticker
Strategi MA Crossover,11097086.575361164,10.970865753611637,2.3805913353121877,-18.168104154824203,0.23492003727098898,19,BBCA.JK
Buy and Hold,10294055.313592607,2.9405531359260717,0.6571573419437149,-51.79205182796498,0.1534602937879637,0,BBCA.JK
Strategi ARIMA Signal,9525948.372789847,-4.7405162721015355,-1.0916244097298078,-7.915089301843607,-0.2659386655469578,2,BBCA.JK
