Model,MAE,RMSE,MAPE_%
ARIMA (Rolling),67.85098300848537,87.25911472908264,1.058307610386653
Naive (Rolling),68.95113932291666,88.10180501883909,1.0763945786687894
Random Forest,125.63546268583944,153.28186095094185,1.9591446986908996
ARIMA,144.86515077560412,163.78809853265,2.272488526608025
Naive,147.05589192708334,165.79695684624917,2.307615953752497
Prophet,598.7161094192518,622.9861635599001,9.325918105938886
GRU (Rolling),74.499169921875,101.34703815645426,1.1565489998759038
