Strategi,Modal Akhir,Total Return (%),Annualized Return (%),Max Drawdown (%),Sharpe Ratio (approx),Jumlah Transaksi,Ticker
Strategi MA Crossover,18145641.614197932,81.45641614197932,14.401695606316878,-22.880956551923944,0.7522442368528476,20,ASII.JK
Buy and Hold,12695288.965142038,26.952889651420374,5.536616259731031,-38.106100520331914,0.3284519626943331,0,ASII.JK
Strategi ARIMA Signal,12317810.102479566,23.17810102479565,4.819733068646315,-16.554057590089744,0.41664557421720777,4,ASII.JK
Strategi MA Crossover,11097086.575361164,10.970865753611637,2.3805913353121877,-18.168104154824203,0.23492003727098898,19,BBCA.JK
Buy and Hold,10294055.313592607,2.9405531359260717,0.6571573419437149,-51.79205182796498,0.1534602937879637,0,BBCA.JK
Strategi ARIMA Signal,9525948.372789847,-4.7405162721015355,-1.0916244097298078,-7.915089301843607,-0.2659386655469578,2,BBCA.JK
Strategi MA Crossover,11772374.091539832,17.723740915398324,3.753214418408346,-37.81710252081083,0.28667971184976904,23,BBRI.JK
Buy and Hold,11400695.941784644,14.006959417846442,3.0043270444296333,-50.35246314239091,0.24720121148107163,0,BBRI.JK
Strategi ARIMA Signal,7190575.060245864,-28.09424939754136,-7.176850024546932,-39.0949714139701,-0.265264334651671,2,BBRI.JK
Strategi MA Crossover,10418464.899353458,4.184648993534568,0.9299824530671241,-24.647956420740037,0.14109339272650498,21,TLKM.JK
Strategi ARIMA Signal,8527062.75700898,-14.729372429910203,-3.534044258959179,-45.99252294803794,0.014805518418014592,11,TLKM.JK
Buy and Hold,8513084.857711518,-14.86915142288482,-3.569773897663775,-46.69089060866094,0.0455375588466578,0,TLKM.JK
Strategi ARIMA Signal,14438733.121056667,44.38733121056666,8.648240501854886,-31.00522224799576,0.4607036225801653,11,UNVR.JK
Strategi MA Crossover,9148032.093887467,-8.519679061125329,-1.9906428704327128,-49.28356939645175,0.05169426809186211,19,UNVR.JK
Buy and Hold,5084024.866769902,-49.15975133230097,-14.16591229454145,-79.30080549982229,-0.16392508809666553,0,UNVR.JK
